dong_code,dong,category,total_amount,avg_monthly_amount,total_count,total_customer,avg_living_pop,avg_work_pop,avg_inflow_pop,avg_total_demand_pop,external_ratio,store_count,amount_growth_24_vs_23,group,store_count_adj,sales_shortage,pop_shortage,amount_score,pop_score,growth_score,external_score,sales_shortage_score,location_score,grade,reason,rank
47190670,인동동,양식,3519572000,293297666.6666667,179409,150543,42706.99244104353,2893.642086474408,22.22912199512004,36304.2779425,0.690296044943468,9.0,0,음식점,9.0,391063555.5555556,4033.8086602777776,0.036637924162628316,1.0,0,0.3055158694852086,0.008531974303201182,0.3483,낮음,수요인구 높음,1
47190690,양포동,양식,2394659000,199554916.66666666,131963,110786,40731.0162041068,3991.390483349422,22.437479266885223,34624.729395,0.6599526187036799,7.0,0,음식점,7.0,342094142.85714287,4946.389913571429,0.02491625548561815,0.9525638026583966,0,0.23747338037610985,0.007458395564953863,0.3218,낮음,수요인구 높음,2
47190565,선주원남동,양식,6332053000,527671083.3333333,243723,204941,35957.815165601154,2165.2975476968372,26.75088420022828,30568.155523333335,0.6817925134347775,12.0,0,음식점,12.0,527671083.3333333,2547.3462936111114,0.06594416423842639,0.8379922774746789,0,0.28644744110482184,0.011526883354081143,0.3114,낮음,수요인구 높음,3
47190680,진미동,양식,3449150000,287429166.6666667,96703,76730,29443.03247494437,9129.325876284563,27.704411437150924,25030.733265833333,0.786334482629615,8.0,0,음식점,8.0,431143750.0,3128.8416582291666,0.03590412221387992,0.6815965273419736,0,0.5208736968668066,0.009410670660974096,0.2741,낮음,수요인구 높음,4
47190645,상모사곡동,양식,1363028000,113585666.66666667,106421,93819,24534.15369363801,1594.9743460240372,19.475116479204427,20856.951905833335,0.6650660214404501,6.0,0,음식점,6.0,227171333.33333334,3476.1586509722224,0.014166591485884238,0.5637146616773157,0,0.24893974041329303,0.004938890468900145,0.2011,낮음,특징 약함,5
47190551,도량동,양식,1815107000,151258916.66666666,104159,94160,22153.229162813044,905.5644230013382,22.0096099347617,18833.546231666667,0.6309328490187328,0.0,0,음식점,0.5,3630214000.0,37667.092463333334,0.018877284894026982,0.5065667626155349,0,0.17239907574312177,0.07954534480361215,0.1896,낮음,특징 약함,6
47190253,고아읍,양식,1645022000,137085166.66666666,95204,81885,16707.4189539794,805.5256774961989,23.998507071676062,14204.9058875,0.6332403128111184,0.0,0,음식점,0.5,3290044000.0,28409.811775,0.01710498782133845,0.3758381229962636,0,0.17757336221697947,0.07208764295942752,0.149,낮음,특징 약함,7
47190510,송정동,양식,1819075000,151589583.33333334,95676,82305,15973.64199702973,1867.941650401577,24.322831367190673,13581.244121666668,0.6486075192721161,4.0,0,음식점,4.0,454768750.0,3395.311030416667,0.01891863171934625,0.3582237809502902,0,0.21203298355297193,0.009928612296241349,0.1387,낮음,특징 약함,8
47190660,임오동,양식,920161000,76680083.33333333,44442,40492,12521.340162109356,973.9957238174876,21.235175044040044,10646.324415333334,0.761346799045996,3.0,0,음식점,3.0,306720333.3333333,3548.7748051111116,0.009551887733699437,0.27533160699162756,0,0.46484099394578404,0.006682879427371035,0.1344,낮음,특징 약함,9
47190535,원평동,양식,4277172000,356431000.0,194699,165802,11101.505809188711,1927.9489770315604,24.743394344819183,9439.991446916667,0.7093425664032512,8.0,0,음식점,8.0,534646500.0,1179.9989308645834,0.044532166819351904,0.24126063664982178,0,0.34822603407743796,0.01167980859069506,0.129,낮음,특징 약함,10
47190670,인동동,일식,1164108000,97009000.0,20555,17668,42706.99244104353,2893.642086474408,22.22912199512004,36304.2779425,0.724927267786859,13.0,0,음식점,13.0,89546769.23076923,2792.636764807692,0.012093831785151058,1.0,0,0.3831733688241056,0.001921684467451462,0.344,낮음,수요인구 높음,1
47190690,양포동,일식,2496281000,208023416.66666666,51825,45027,40731.0162041068,3991.390483349422,22.437479266885223,34624.729395,0.6868897791267327,7.0,0,음식점,7.0,356611571.4285714,4946.389913571429,0.0259751635205463,0.9525638026583966,0,0.2978776152252465,0.007776667763648519,0.3284,낮음,수요인구 높음,2
47190565,선주원남동,일식,1703907000,141992250.0,38793,35361,35957.815165601154,2165.2975476968372,26.75088420022828,30568.155523333335,0.6383354286212404,11.0,0,음식점,11.0,154900636.36363637,2778.9232293939394,0.0177185734586684,0.8379922774746789,0,0.18899871541474167,0.0033544670627461107,0.2788,낮음,수요인구 높음,3
47190680,진미동,일식,1459559000,121629916.66666667,29272,23890,29443.03247494437,9129.325876284563,27.704411437150924,25030.733265833333,0.7150756927056805,10.0,0,음식점,10.0,145955900.0,2503.0733265833333,0.015172450960404017,0.6815965273419736,0,0.3610820702057054,0.003158367533467114,0.2479,낮음,수요인구 높음,4
47190645,상모사곡동,일식,5627569000,468964083.3333333,105320,95444,24534.15369363801,1594.9743460240372,19.475116479204427,20856.951905833335,0.7346410391366652,15.0,0,음식점,15.0,375171266.6666667,1390.463460388889,0.05860339385329009,0.5637146616773157,0,0.4049556545836086,0.008183560415571523,0.2372,낮음,특징 약함,5
47190551,도량동,일식,303848000,25320666.666666668,8310,7527,22153.229162813044,905.5644230013382,22.0096099347617,18833.546231666667,0.6078165633920559,5.0,0,음식점,5.0,60769600.0,3766.7092463333333,0.003129865064093727,0.5065667626155349,0,0.12056281966029629,0.0012907894795256575,0.1656,낮음,특징 약함,6
47190510,송정동,일식,3583438000,298619833.3333333,46257,41540,15973.64199702973,1867.941650401577,24.322831367190673,13581.244121666668,0.6712018437661819,18.0,0,음식점,18.0,199079888.8888889,754.5135623148149,0.037303412153011514,0.3582237809502902,0,0.26269878728145857,0.004323028937785868,0.1512,낮음,특징 약함,7
47190253,고아읍,일식,2990304000,249192000.0,49134,46336,16707.4189539794,805.5256774961989,23.998507071676062,14204.9058875,0.6158077892007623,10.0,0,음식점,10.0,299030400.0,1420.49058875,0.031122916213263508,0.3758381229962636,0,0.13848244715260188,0.006514289516439275,0.1416,낮음,특징 약함,8
47190535,원평동,일식,3199352000,266612666.66666666,95407,81752,11101.505809188711,1927.9489770315604,24.743394344819183,9439.991446916667,0.730245039963639,15.0,0,음식점,15.0,213290133.33333334,629.3327631277778,0.033301210351202724,0.24126063664982178,0,0.3950980095210339,0.004634566598954248,0.1276,낮음,특징 약함,9
47190256,산동읍,일식,627190000,52265833.333333336,23006,19235,13259.428515835449,2017.5931412948385,25.826092456710146,11274.388154166665,0.681247303122306,8.0,0,음식점,8.0,78398750.0,1409.2985192708331,0.006499110324271022,0.29307027581590767,0,0.28522485449066187,0.0016772813643667883,0.1196,낮음,특징 약함,10
47190670,인동동,중식,2105424000,175452000.0,81551,67573,42706.99244104353,2893.642086474408,22.22912199512004,36304.2779425,0.7153165560540661,16.0,0,음식점,16.0,131589000.0,2269.01737140625,0.021902407445996388,1.0,0,0.3616221852747748,0.002843395441203786,0.3464,낮음,수요인구 높음,1
47190690,양포동,중식,2879545000,239962083.33333334,148731,122734,40731.0162041068,3991.390483349422,22.437479266885223,34624.729395,0.6860052248410171,20.0,0,음식점,20.0,143977250.0,1731.2364697500002,0.029968800027392273,0.9525638026583966,0,0.29589407932272255,0.0031149886883191117,0.3293,낮음,수요인구 높음,2
47190565,선주원남동,중식,3192949000,266079083.33333334,137101,122356,35957.815165601154,2165.2975476968372,26.75088420022828,30568.155523333335,0.6766210299087526,11.0,0,음식점,11.0,290268090.90909094,2778.9232293939394,0.03323449066306783,0.8379922774746789,0,0.2748508399591006,0.006322189423348797,0.2948,낮음,수요인구 높음,3
47190680,진미동,중식,4134748000,344562333.3333333,146813,124634,29443.03247494437,9129.325876284563,27.704411437150924,25030.733265833333,0.7216593676487849,14.0,0,음식점,14.0,295339142.85714287,1787.9095189880952,0.04304809921620882,0.6815965273419736,0,0.37584538754086594,0.0064333644048725725,0.2624,낮음,수요인구 높음,4
47190645,상모사곡동,중식,3051942000,254328500.0,116897,103051,24534.15369363801,1594.9743460240372,19.475116479204427,20856.951905833335,0.6917934389962995,21.0,0,음식점,21.0,145330571.42857143,993.1881859920636,0.03176518829467207,0.5637146616773157,0,0.3088736451604625,0.003144658170382879,0.2148,낮음,특징 약함,5
47190551,도량동,중식,989484000,82457000.0,46714,43055,22153.229162813044,905.5644230013382,22.0096099347617,18833.546231666667,0.5843212892162664,9.0,0,음식점,9.0,109942666.66666667,2092.616247962963,0.010274238028963493,0.5065667626155349,0,0.06787671478249002,0.0023688330164754585,0.1637,낮음,특징 약함,6
47190510,송정동,중식,3137012000,261417666.66666666,106732,94585,15973.64199702973,1867.941650401577,24.322831367190673,13581.244121666668,0.659429568599718,7.0,0,음식점,7.0,448144571.4285714,1940.177731666667,0.03265162338285512,0.3582237809502902,0,0.23630048609841373,0.009783387412364607,0.1473,낮음,특징 약함,7
47190253,고아읍,중식,3978759000,331563250.0,165191,151059,16707.4189539794,805.5256774961989,23.998507071676062,14204.9058875,0.5956331221578152,14.0,0,음식점,14.0,284197071.4285714,1014.6361348214285,0.0414226834060456,0.3758381229962636,0,0.09324251440072906,0.006189091698164473,0.1416,낮음,특징 약함,8
47190700,공단동,중식,842460000,70205000.0,34592,26263,12051.685982309342,7045.507126584991,26.81239145993666,10247.954943083334,0.8015444215064095,6.0,0,음식점,6.0,140410000.0,1707.992490513889,0.008742238118242625,0.2640802901251697,0,0.5549806593500773,0.003036782241825689,0.1391,낮음,특징 약함,9
47190256,산동읍,중식,2277301000,189775083.33333334,99529,81956,13259.428515835449,2017.5931412948385,25.826092456710146,11274.388154166665,0.711107452414386,11.0,0,음식점,11.0,207027363.63636363,1024.944377651515,0.023693377278506525,0.29307027581590767,0,0.35218363715899026,0.004497265046439932,0.1345,낮음,특징 약함,10
47190670,인동동,패스트푸드,3849914000,320826166.6666667,378501,316414,42706.99244104353,2893.642086474408,22.22912199512004,36304.2779425,0.710909935748337,59.0,0,음식점,59.0,65252779.66101695,615.3267447881356,0.04008010989085876,1.0,0,0.35174072324767724,0.001389076269147838,0.3534,검토 가능,수요인구 높음,1
47190690,양포동,패스트푸드,1453842000,121153500.0,121100,103270,40731.0162041068,3991.390483349422,22.437479266885223,34624.729395,0.6508597590729457,63.0,0,음식점,63.0,23076857.14285714,549.5988792857144,0.015112879438138323,0.9525638026583966,0,0.2170834350381795,0.00046443431029235844,0.3143,낮음,수요인구 높음,2
47190565,선주원남동,패스트푸드,876525000,73043750.0,71246,62623,35957.815165601154,2165.2975476968372,26.75088420022828,30568.155523333335,0.6280809550112966,36.0,0,음식점,36.0,24347916.666666668,849.1154312037038,0.00909719769598984,0.8379922774746789,0,0.16600395195559,0.0004923003271509372,0.2722,낮음,수요인구 높음,3
47190680,진미동,패스트푸드,547048000,45587333.333333336,35105,30295,29443.03247494437,9129.325876284563,27.704411437150924,25030.733265833333,0.6867839727339855,45.0,0,음식점,45.0,12156622.222222222,556.2385170185185,0.005664025325597392,0.6815965273419736,0,0.29764035360985475,0.00022502502638563988,0.2368,낮음,수요인구 높음,4
47190645,상모사곡동,패스트푸드,625844000,52153666.666666664,36076,30264,24534.15369363801,1594.9743460240372,19.475116479204427,20856.951905833335,0.6799098008555072,46.0,0,음식점,46.0,13605304.347826088,453.4119979528986,0.006485084914271088,0.5637146616773157,0,0.2822256222120501,0.00025678514444353226,0.2003,낮음,특징 약함,5
47190551,도량동,패스트푸드,3175063000,264588583.33333334,323849,282203,22153.229162813044,905.5644230013382,22.0096099347617,18833.546231666667,0.62913914336974,23.0,0,음식점,23.0,138046217.39130434,818.8498361594203,0.033048117347125164,0.5065667626155349,0,0.16837684713511814,0.0029849599590843503,0.1841,낮음,특징 약함,6
47190510,송정동,패스트푸드,2498355000,208196250.0,194775,170149,15973.64199702973,1867.941650401577,24.322831367190673,13581.244121666668,0.6471531213909371,33.0,0,음식점,33.0,75707727.27272727,411.55285217171723,0.02599677473922376,0.3582237809502902,0,0.20877162304581007,0.0016182848474607572,0.1403,낮음,특징 약함,7
47190660,임오동,패스트푸드,1269175000,105764583.33333333,107618,97498,12521.340162109356,973.9957238174876,21.235175044040044,10646.324415333334,0.7711828927754117,16.0,0,음식점,16.0,79323437.5,665.3952759583334,0.01318863695042822,0.27533160699162756,0,0.48689757698195607,0.001697553709588426,0.1375,낮음,특징 약함,8
47190253,고아읍,패스트푸드,1050966000,87580500.0,86006,77401,16707.4189539794,805.5256774961989,23.998507071676062,14204.9058875,0.575015993842733,28.0,0,음식점,28.0,37534500.0,507.31806741071426,0.010914884579941159,0.3758381229962636,0,0.04701040080373579,0.0007813957995426657,0.1225,낮음,특징 약함,9
47190256,산동읍,패스트푸드,1105937000,92161416.66666667,103730,88535,13259.428515835449,2017.5931412948385,25.826092456710146,11274.388154166665,0.6476632334896191,21.0,0,음식점,21.0,52663666.666666664,536.8756263888888,0.011487686075562532,0.29307027581590767,0,0.2099155049741296,0.0011130794111221013,0.1142,낮음,특징 약함,10
47190565,선주원남동,한식,95972153000,7997679416.666667,2699237,2399262,35957.815165601154,2165.2975476968372,26.75088420022828,30568.155523333335,0.6681399051825259,157.0,0,음식점,157.0,611287598.7261146,194.701627537155,1.0,0.8379922774746789,0,0.2558326568357822,0.013360046305102803,0.729,추천,소비 규모 높음 + 수요인구 높음,1
47190670,인동동,한식,64082803000,5340233583.333333,1988409,1704651,42706.99244104353,2893.642086474408,22.22912199512004,36304.2779425,0.7036739803824229,198.0,0,음식점,198.0,323650520.2020202,183.35493910353534,0.6677108407270481,1.0,0,0.33551472390639203,0.007054047625133909,0.6351,추천,소비 규모 높음 + 수요인구 높음,2
47190690,양포동,한식,58138317000,4844859750.0,1987284,1644037,40731.0162041068,3991.390483349422,22.437479266885223,34624.729395,0.6888682799576052,163.0,0,음식점,163.0,356676791.4110429,212.42165273006137,0.6057688991305642,0.9525638026583966,0,0.30231423092490883,0.007778097611029404,0.5898,추천,소비 규모 높음 + 수요인구 높음,3
47190680,진미동,한식,48106678000,4008889833.3333335,1361197,1149229,29443.03247494437,9129.325876284563,27.704411437150924,25030.733265833333,0.7137938139095773,127.0,0,음식점,127.0,378792740.1574803,197.0923879199475,0.5012385499876761,0.6815965273419736,0,0.3582075687129021,0.00826295562835074,0.4671,검토 가능,수요인구 높음,4
47190645,상모사곡동,한식,49528604000,4127383666.6666665,1395030,1245459,24534.15369363801,1594.9743460240372,19.475116479204427,20856.951905833335,0.6768362536534777,146.0,0,음식점,146.0,339237013.69863015,142.8558349714612,0.516055113984382,0.5637146616773157,0,0.27533346045128715,0.007395757421100748,0.43,검토 가능,특징 약함,5
47190535,원평동,한식,62218111000,5184842583.333333,2252265,1926484,11101.505809188711,1927.9489770315604,24.743394344819183,9439.991446916667,0.6987933098185534,177.0,0,음식점,177.0,351514751.4124294,53.333285010828625,0.6482806254049108,0.24126063664982178,0,0.32457024548583274,0.0076649278570316524,0.3977,검토 가능,소비 규모 높음,6
47190583,형곡2동,한식,22807570000,1900630833.3333333,623167,571013,13082.633279903,810.5126489452622,16.84161704585549,11122.764530833332,0.6247495948962437,0.0,0,음식점,0.5,45615140000.0,22245.529061666664,0.23762015300951225,0.28878790593217024,0,0.15853366720410264,1.0,0.3594,검토 가능,공급 대비 소비 부족,7
47190253,고아읍,한식,45410276000,3784189666.6666665,1316007,1221200,16707.4189539794,805.5256774961989,23.998507071676062,14204.9058875,0.5863902898980852,126.0,0,음식점,126.0,360399015.8730159,112.73734831349206,0.47314186085346976,0.3758381229962636,0,0.07251626851142179,0.00785970163323749,0.3341,낮음,특징 약함,8
47190256,산동읍,한식,45343865000,3778655416.6666665,1317931,1076813,13259.428515835449,2017.5931412948385,25.826092456710146,11274.388154166665,0.6890030866584297,109.0,0,음식점,109.0,415998761.4678899,103.43475370795106,0.4724498537929158,0.29307027581590767,0,0.3026165232039743,0.0090786401794323,0.3321,낮음,특징 약함,9
47190510,송정동,한식,39635039000,3302919916.6666665,954536,846551,15973.64199702973,1867.941650401577,24.322831367190673,13581.244121666668,0.6584698896279616,92.0,0,음식점,92.0,430815641.3043478,147.62221871376815,0.4129635051537755,0.3582237809502902,0,0.2341484896340743,0.009403477384598583,0.3181,낮음,특징 약함,10
